palavra,classe_gramatical,assunto,CM,letra
HORA2,SUBSTANTIVO,ANO SIDERAL,cg14,H
HORA3,SUBSTANTIVO,ANO SIDERAL,cg14,H
HORIZONTAL,ADJETIVO,COR/FORMA,cg62,H
HORRIVEL,ADJETIVO,NENHUM,cg64,H
HORROR,SUBSTANTIVO,NENHUM,cg64,H
HORTELA,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg63,H
HOSPEDAR,VERBO,NENHUM,cg32,H
HOSPITAL,SUBSTANTIVO,HIGIENE/SAÚDE,cg15,H
HOSTIA,SUBSTANTIVO,NENHUM,cg19,H
HOTEL,SUBSTANTIVO,NENHUM,cg63,H
HUMILDE,ADJETIVO,NENHUM,cg54,H
HUMILHADO,ADJETIVO,NENHUM,cg52,H
HUMILHAR,VERBO,NENHUM,cg64,H
HUMOR,SUBSTANTIVO,NENHUM,cg19,H
HUMORADO,ADJETIVO,NENHUM,cg08a,H
I,SUBSTANTIVO,NENHUM,cg38,I
ICEBERG,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg15,I
IDA,SUBSTANTIVO,NENHUM,cg14,I
IDADE1,SUBSTANTIVO,NENHUM,cg40,I
IDADE2,SUBSTANTIVO,NENHUM,cg62,I
IDADE3,SUBSTANTIVO,NENHUM,cg62,I
IDEIA,SUBSTANTIVO,NENHUM,cg14,I
IDEM,PRONOME,NENHUM,cg14,I
IDENTICO,ADJETIVO,NENHUM,cg28,I
IDENTIDADE1,SUBSTANTIVO,NENHUM,cg07,I
IDIOMA,SUBSTANTIVO,NENHUM,cg28,I
IDIOTA,ADJETIVO,NENHUM,cg39,I
IDOSO,ADJETIVO,NENHUM,cg02,I
IGNORANTE,ADJETIVO,NENHUM,cg16,I
IGNORAR,VERBO,NENHUM,cg44,I
IGREJA,SUBSTANTIVO,NENHUM,cg62,I
IGUAL1,ADJETIVO,NENHUM,cg28,I
IGUAL2,ADJETIVO,NENHUM,cg28,I
IGUAL3,ADJETIVO,NENHUM,cg14,I
ILEGAL,ADJETIVO,NENHUM,cg07,I
ILEGAL2,ADJETIVO,NENHUM,cg38,I
ILEGIVEL,ADJETIVO,NENHUM,cg64,I
ILHA,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg39,I
ILUMINAR,VERBO,NENHUM,cg64,I
ILUSTRACAO,SUBSTANTIVO,NENHUM,cg27,I
ILUSTRAR,VERBO,NENHUM,cg27,I
IMAGEM1,SUBSTANTIVO,NENHUM,cg08a,I
IMAGINAR,VERBO,NENHUM,cg64,I
IMEDIATAMENTE,ADV.,NENHUM,cg51a,I
IMENSO,ADJETIVO,NENHUM,cg02,I
IMERGIR,VERBO,NENHUM,cg53a,I
IMITAR,VERBO,NENHUM,cg57,I
IMPARCIAL,ADJETIVO,NENHUM,cg53a,I
IMPEDIR,VERBO,NENHUM,cg40,I
IMPERADOR,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg18b,I
IMPERFEITO,ADJETIVO,NENHUM,cg53a,I
IMPERIO,SUBSTANTIVO,NENHUM,cg18b,I
IMPLANTE COCLEAR,SUBSTANTIVO,NENHUM,cg31,I
IMPLORAR,VERBO,NENHUM,cg52,I
IMPOR,VERBO,NENHUM,cg01,I
IMPORTADO,ADJETIVO,NENHUM,cg38,I
IMPORTAR,VERBO,NENHUM,cg38,I
IMPORTUNAR,VERBO,NENHUM,cg63,I
IMPOSSIVEL,ADJETIVO,NENHUM,cg02,I
IMPOSTO,ADJETIVO,NUMERAL/DINHEIRO,cg05,I
IMPOTENCIA SEXUAL,LOC. SUBST.,NENHUM,cg14,I
IMPRENSAR,VERBO,NENHUM,cg64,I
IMPRESSAO DIGITAL,SUBSTANTIVO,CORPO,cg07,I
IMPRESSIONANTE,ADJETIVO,NENHUM,cg58,I
IMPRESSIONAR,VERBO,NENHUM,cg58,I
IMPRESSORA,SUBSTANTIVO,APARELHO/MÁQUINA,cg52,I
IMPRIMIR1,VERBO,NENHUM,cg63,I
IMPRIMIR2,VERBO,NENHUM,cg15,I
IMPUREZA,SUBSTANTIVO,HIGIENE/SAÚDE,cg14,I
IMUNDO,ADJETIVO,HIGIENE/SAÚDE,cg14,I
INALAR,VERBO,NENHUM,cg57,I
INAUGURAR,VERBO,NENHUM,cg32,I
INCENDIAR,VERBO,NENHUM,cg47,I
INCENDIO,SUBSTANTIVO,NENHUM,cg47,I
INCENSO,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,cg20,I
INCENTIVAR,VERBO,NENHUM,cg63,I
INCHAR,VERBO,NENHUM,cg47,I
INCINERAR,VERBO,NENHUM,cg47,I
INCLINAR,VERBO,NENHUM,cg61,I
INCLUIDO,ADJETIVO,NENHUM,cg44,I
INCLUIR,VERBO,NENHUM,cg44,I
INCLUSAO,SUBSTANTIVO,NENHUM,cg44,I
INCLUSO,ADJETIVO,NENHUM,cg44,I
INCOMODAR,VERBO,NENHUM,cg63,I
INCORPORADO,ADJETIVO,NENHUM,cg44,I
INCULTO,ADJETIVO,NENHUM,cg16,I
INDECISO,ADJETIVO,NENHUM,cg14,I
INDEPENDENCIA,SUBSTANTIVO,NENHUM,cg01,I
INDEPENDENTE,ADJETIVO,NENHUM,cg33,I
INDIANO,ADJETIVO,NENHUM,cg35a,I
INDICADOR,ADJETIVO,CORPO,cg14,I
INDICAR,VERBO,NENHUM,cg14,I
INDIFERENTE,ADJETIVO,NENHUM,cg44,I
INDIGESTAO,SUBSTANTIVO,HIGIENE/SAÚDE,cg64,I
INDISCRETO,ADJETIVO,NENHUM,cg51b,I
INDIVIDUAL,ADJETIVO,NENHUM,cg33,I
INDIVIDUO,ADJETIVO,NENHUM,cg18a,I
INFANTIL,ADJETIVO,NENHUM,cg63,I
INFELIZ,ADJETIVO,NENHUM,cg39,I
INFERIOR,ADJETIVO,NENHUM,cg61,I
INFERNO,SUBSTANTIVO,NENHUM,cg18a,I
INFLACAO,SUBSTANTIVO,NUMERAL/DINHEIRO,cg38,I
INFLAMAR,VERBO,NENHUM,cg47,I
INFLUENCIAR,VERBO,NENHUM,cg47,I
INFLUENZA,SUBSTANTIVO,HIGIENE/SAÚDE,cg21,I
INFORMACAO,SUBSTANTIVO,NENHUM,cg40,I
INFORMAR,VERBO,NENHUM,cg40,I
INFORMATICA,SUBSTANTIVO,NENHUM,cg15,I
INGENUO,ADJETIVO,NENHUM,cg49,I
INGERIR,VERBO,NENHUM,cg45,I
INGLATERRA,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg18a,I
INGLES1,ADJETIVO,NENHUM,cg18a,I
INGLES2,SUBSTANTIVO,NENHUM,cg18a,I
INGRESSAR,VERBO,NENHUM,cg32,I
INGRESSO,SUBSTANTIVO,NUMERAL/DINHEIRO,cg18a,I
INICIO,SUBSTANTIVO,NENHUM,cg53a,I
INIMIGO,ADJETIVO,NENHUM,cg34,I
INJECAO,SUBSTANTIVO,HIGIENE/SAÚDE,cg09,I
INJETAR,VERBO,NENHUM,cg29a,I
INOCENTE,ADJETIVO,NENHUM,cg49,I
INODORO,ADJETIVO,NENHUM,cg57,I
INOFENSIVO,ADJETIVO,NENHUM,cg14,I
INQUERITO,SUBSTANTIVO,NENHUM,cg14,I
INSANO,ADJETIVO,NENHUM,cg14,I
INSCREVER,VERBO,NENHUM,cg20,I
INSCRICAO,SUBSTANTIVO,NENHUM,cg20,I
INSERIR,VERBO,NENHUM,cg44,I
INSETO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg32,I
INSIGNIA,SUBSTANTIVO,NENHUM,cg46a,I
INSIGNIFICANTE1,ADJETIVO,NENHUM,cg64,I
INSIGNIFICANTE2,ADJETIVO,NENHUM,cg22b,I
INSISTIR,VERBO,NENHUM,cg05,I
INSONIA,SUBSTANTIVO,NENHUM,cg02,I
INSPETOR,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg32,I
INSTALAR,VERBO,NENHUM,cg44,I
INSTINTO,SUBSTANTIVO,SENTIMENTOS,cg46a,I
INSTRUIR,VERBO,NENHUM,cg57,I
INSTRUTOR,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg38,I
INSULTO,SUBSTANTIVO,NENHUM,cg08a,I
INTEGRACAO,SUBSTANTIVO,NENHUM,cg33,I
INTEGRAR,VERBO,NENHUM,cg33,I
INTEIRO,ADJETIVO,NUMERAL/DINHEIRO,cg57,I
INTELECTUAL,SUBSTANTIVO,NENHUM,cg15,I
INTELIGENTE,ADJETIVO,NENHUM,cg31,I
INTENCAO,ADJETIVO,NENHUM,cg31,I
INTERCAMBIO,SUBSTANTIVO,NENHUM,cg05,I
INTERESSANTE,ADJETIVO,NENHUM,cg51b,I
INTERESSAR,VERBO,NENHUM,cg18a,I
INTERESSE,SUBSTANTIVO,SENTIMENTOS,cg18a,I
INTERFERENCIA,SUBSTANTIVO,NENHUM,cg62,I
INTERFERIR,VERBO,NENHUM,cg62,I
INTERINO,ADJETIVO,PROFISSÃO/TRABALHO,cg32,I
INTERIOR1,ADJETIVO,NENHUM,cg44,I
INTERIOR2,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg14,I
INTERNACIONAL,ADJETIVO,NENHUM,cg47,I
INTERNAR,VERBO,NENHUM,cg24,I
INTERNATO,SUBSTANTIVO,NENHUM,cg32,I
INTERNET,SUBSTANTIVO,NENHUM,cg38,I
INTERPRETACAO,SUBSTANTIVO,NENHUM,cg63,I
INTERPRETAR,VERBO,NENHUM,cg63,I
INTERPRETE,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg63,I
INTERROMPER,VERBO,NENHUM,cg32,I
INTERRUPTOR,SUBSTANTIVO,APARELHO/MÁQUINA,cg07,I
INTERVALO,SUBSTANTIVO,NENHUM,cg63,I
INTERVIR,VERBO,NENHUM,cg62,I
INTESTINO,SUBSTANTIVO,CORPO,cg49,I
INTIMAR,VERBO,NENHUM,cg05,I
INTREPIDEZ,SUBSTANTIVO,SENTIMENTOS,cg57,I
INTRODUCAO,SUBSTANTIVO,NENHUM,cg53a,I
INTROMETER,VERBO,NENHUM,cg61,I
INUTIL,ADJETIVO,NENHUM,cg22b,I
INVADIR,VERBO,NENHUM,cg61,I
INVEJA,SUBSTANTIVO,SENTIMENTOS,cg15,I
INVEJAR,VERBO,NENHUM,cg15,I
INVENTAR,VERBO,NENHUM,cg14,I
INVERNO,SUBSTANTIVO,ANO SIDERAL,cg02,I
INVERTER,VERBO,NENHUM,cg32,I
INVESTIGAR,VERBO,NENHUM,cg14,I
INVISIVEL,ADJETIVO,NENHUM,cg63,I
IOGA,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg49,I
IR1,VERBO,NENHUM,cg14,I
IR2,VERBO,NENHUM,cg22b,I
IR3,VERBO,NENHUM,cg63,I
IR4,VERBO,NENHUM,cg32,I
IR5,VERBO,NENHUM,cg32,I
IR6,VERBO,NENHUM,cg47,I
IRMAO,SUBSTANTIVO,FAMÍLIA,cg14,I
IRRIGACAO,SUBSTANTIVO,NENHUM,cg14,I
ISCA,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg16,I
ISENTAR,VERBO,NENHUM,cg08a,I
ISOLADO,ADJETIVO,NENHUM,cg33,I
ISQUEIRO,SUBSTANTIVO,APARELHO/MÁQUINA,cg07,I
ISRAEL1,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg59a,I
ISRAEL2,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg32,I
ISRAELITA1,SUBSTANTIVO,NENHUM,cg59a,I
ISRAELITA2,ADJETIVO,NENHUM,cg32,I
ISSO,INTERJ.,NENHUM,cg14,I
ITALIA,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg40,I
ITALIANO,ADJETIVO,NENHUM,cg40,I
J,SUBSTANTIVO,NENHUM,cg38,J
JA,ADV.,NENHUM,cg63,J
JABOTA,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg07,J
JABUTI,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg07,J
JABUTICABA,SUBSTANTIVO,FRUTA,cg49,J
JACA,SUBSTANTIVO,FRUTA,cg46a,J
JACARE,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg47,J
JAGUAR1,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg64,J
JAGUAR2,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg47,J
JAMAIS,ADV.,NENHUM,cg24,J
JANEIRO,SUBSTANTIVO,ANO SIDERAL,cg38,J
JANELA,SUBSTANTIVO,NENHUM,cg02,J
JANGADA,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg52,J
JANTAR,SUBSTANTIVO,NENHUM,cg53a,J
JAPAO,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg14,J
JAPONES,ADJETIVO,NENHUM,cg08a,J
JAQUETA,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg07,J
JARDIM,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg54,J
JARDIM DE INFANCIA,SUBSTANTIVO,NENHUM,cg63,J
JARDIM ZOOLOGICO,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg14,J
JARRA,SUBSTANTIVO,CASA,cg51b,J
JATO1,SUBSTANTIVO,NENHUM,cg64,J
JATO2,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg40,J
JAULA,SUBSTANTIVO,NENHUM,cg58,J
JAVALI,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg32,J
JAZIGO,SUBSTANTIVO,NENHUM,cg61,J
JEITO1,SUBSTANTIVO,NENHUM,cg64,J
JEITO2,SUBSTANTIVO,NENHUM,cg47,J
JEJUAR,VERBO,NENHUM,cg07,J
JEJUM,SUBSTANTIVO,NENHUM,cg07,J
JESUS CRISTO,SUBSTANTIVO,NENHUM,cg35a,J
JET SKI,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg02,J
JIBOIA,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg31,J
JILO,SUBSTANTIVO,LEGUME/VERDURA,cg15,J
JIU-JITSU,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg38,J
JOAO PESSOA,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg39,J
JOCOSO,ADJETIVO,NENHUM,cg19,J
JOGADO,ADJETIVO,NENHUM,cg57,J
JOGADOR,ADJETIVO,PROFISSÃO/TRABALHO,cg07,J
JOGAR CARTA,VERBO,ESPORTE/DIVERSÃO,cg05,J
JOGAR FORA,VERBO,NENHUM,cg02,J
JOGAR FUTEBOL,VERBO,ESPORTE/DIVERSÃO,cg07,J
JOGO,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg40,J
JOIA,SUBSTANTIVO,NENHUM,cg14,J
JOQUEI-CLUBE,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg27,J
JORNAL,SUBSTANTIVO,NENHUM,cg08a,J
JORNALEIRO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg08a,J
JORNALISTA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg02,J
JORRAR,VERBO,NENHUM,cg64,J
JOVEM,ADJETIVO,NENHUM,cg52,J
JUBA,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg47,J
JUDEU,ADJETIVO,NENHUM,cg59a,J
JUDICIAL,ADJETIVO,NENHUM,cg53a,J
JUDO,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg02,J
JUIZ,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg53a,J
JUIZ ESPORTIVO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg05,J
JUIZO,SUBSTANTIVO,NENHUM,cg15,J
JULGAMENTO,SUBSTANTIVO,NENHUM,cg49,J
JULGAR,VERBO,NENHUM,cg49,J
JULHO,SUBSTANTIVO,ANO SIDERAL,cg39,J
JUMENTO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg61,J
JUNHO,SUBSTANTIVO,ANO SIDERAL,cg39,J
JUNTA,SUBSTANTIVO,NENHUM,cg47,J
JUNTAR1,VERBO,NENHUM,cg01,J
JUNTAR2,VERBO,NENHUM,cg14,J
JUNTAR3,VERBO,NENHUM,cg32,J
JUNTAR4,VERBO,NENHUM,cg47,J
JUNTO,ADV.,NENHUM,cg01,J
JURAMENTO,SUBSTANTIVO,NENHUM,cg63,J
JURAR,VERBO,NENHUM,cg15,J
JURI,SUBSTANTIVO,NENHUM,cg53a,J
JURIDICO,ADJETIVO,NENHUM,cg49,J
JUROS,SUBSTANTIVO,NUMERAL/DINHEIRO,cg38,J
JUSTICA,SUBSTANTIVO,NENHUM,cg49,J
JUSTO,ADJETIVO,NENHUM,cg49,J
JUVENIL,SUBSTANTIVO,NENHUM,cg53a,J
JUVENTUDE,SUBSTANTIVO,NENHUM,cg53a,J
K,SUBSTANTIVO,NENHUM,cg11,K
L,SUBSTANTIVO,NENHUM,cg08a,L
LA,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,cg01,L
LABIA,SUBSTANTIVO,NENHUM,cg44,L
LABIO,SUBSTANTIVO,CORPO,cg14,L
LABIRINTITE,SUBSTANTIVO,HIGIENE/SAÚDE,cg14,L
LABIRINTO,SUBSTANTIVO,CORPO,cg14,L
LABORATORIO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg39,L
LACAR,VERBO,NENHUM,cg05,L
LACO,SUBSTANTIVO,NENHUM,cg23,L
LACRIMEJAR,VERBO,NENHUM,cg14,L
LACTACAO,SUBSTANTIVO,NENHUM,cg02,L
LADEIRA,SUBSTANTIVO,NENHUM,cg63,L
LADO,SUBSTANTIVO,NENHUM,cg63,L
LADRAO,ADJETIVO,NENHUM,cg63,L
LADRILHO,SUBSTANTIVO,NENHUM,cg08a,L
LAGARTA,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg15,L
LAGARTIXA,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg24,L
LAGO,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg18a,L
LAGOA,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg14,L
LAGOSTA1,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg26,L
LAGOSTA2,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg20,L
LAGRIMA,SUBSTANTIVO,CORPO,cg14,L
LAJE,SUBSTANTIVO,NENHUM,cg53a,L
LAMA,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,cg34,L
LAMBER,VERBO,NENHUM,cg52,L
LAMBUZADA,ADJETIVO,NENHUM,cg14,L
LAMBUZAR,VERBO,NENHUM,cg14,L
LAMENTAR,VERBO,NENHUM,cg40,L
LAMINA,SUBSTANTIVO,NENHUM,cg18a,L
LAMPADA,SUBSTANTIVO,NENHUM,cg45,L
LAMPIAO,SUBSTANTIVO,APARELHO/MÁQUINA,cg44,L
LANCA,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg02,L
LANCA-PERFUME,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg07,L
LANCAMENTO,SUBSTANTIVO,NENHUM,cg64,L
LANCAR,VERBO,NENHUM,cg02,L
LANCHA,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg53a,L
LANCHAR,VERBO,NENHUM,cg44,L
LANCHE,SUBSTANTIVO,ALIMENTO/BEBIDA,cg44,L
LANCHONETE,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg44,L
LANTERNA,SUBSTANTIVO,APARELHO/MÁQUINA,cg05,L
LAPIDAR,VERBO,NENHUM,cg02,L
LAPIDE,SUBSTANTIVO,NENHUM,cg02,L
LAPIS,SUBSTANTIVO,NENHUM,cg20,L
LAPIS-DE-COR,SUBSTANTIVO,NENHUM,cg20,L
LAPISEIRA,SUBSTANTIVO,NENHUM,cg13,L
LAPSO,SUBSTANTIVO,NENHUM,cg28,L
LAQUE,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,cg15,L
LAR,SUBSTANTIVO,NENHUM,cg63,L
LARANJA,SUBSTANTIVO,FRUTA,cg02,L
LAREIRA,SUBSTANTIVO,CASA,cg47,L
LARGADA,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg01,L
LARGADO,ADJETIVO,NENHUM,cg35a,L
LARGAR1,VERBO,NENHUM,cg33,L
LARGAR2,VERBO,NENHUM,cg02,L
LARGO,ADJETIVO,COR/FORMA,cg64,L
LARGURA,SUBSTANTIVO,NENHUM,cg49,L
LARINGE,SUBSTANTIVO,CORPO,cg21,L
LATA,SUBSTANTIVO,NENHUM,cg18a,L
LATERAL,ADJETIVO,NENHUM,cg63,L
LATICINIOS,SUBSTANTIVO,ALIMENTO/BEBIDA,cg02,L
LATIDO,SUBSTANTIVO,NENHUM,cg50,L
LATINO-AMERICANO,ADJETIVO,NENHUM,cg64,L
LATIR,VERBO,NENHUM,cg44,L
LATITUDE,SUBSTANTIVO,NENHUM,cg55,L
LAUDO,SUBSTANTIVO,NENHUM,cg37a,L
LAVA,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,cg64,L
LAVAR,VERBO,NENHUM,cg01,L
LAVAR ROSTO,VERBO,NENHUM,cg64,L
LAVAR AS MAOS1,VERBO,NENHUM,cg63,L
LAVAR AS MAOS2,VERBO,NENHUM,cg08a,L
LAVAR CABELO,VERBO,NENHUM,cg47,L
LAVAR LOUCA,VERBO,NENHUM,cg63,L
LAVAR ROUPA,VERBO,NENHUM,cg01,L
LAVOURA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg15,L
LAVRADOR,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg15,L
LAVRAR,VERBO,NENHUM,cg15,L
LEAL,ADJETIVO,NENHUM,cg63,L
LEAO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg47,L
LEBRE,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg27,L
LECIONAR,VERBO,NENHUM,cg42,L
LEGAL1,ADJETIVO,NENHUM,cg64,L
LEGAL2,ADJETIVO,NENHUM,cg07,L
LEGALIZAR,VERBO,NENHUM,cg07,L
LEGENDA,SUBSTANTIVO,NENHUM,cg24,L
LEGISLACAO,SUBSTANTIVO,NENHUM,cg08a,L
LEGITIMAR,VERBO,NENHUM,cg34,L
LEGITIMO,SUBSTANTIVO,NENHUM,cg34,L
LEGIVEL,ADJETIVO,NENHUM,cg34,L
LEGUME,SUBSTANTIVO,LEGUME/VERDURA,cg02,L
LEI1,SUBSTANTIVO,NENHUM,cg08a,L
LEI2,SUBSTANTIVO,NENHUM,cg08a,L
LEILAO,SUBSTANTIVO,NENHUM,cg05,L
LEITAO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg61,L
LEITE,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,cg02,L
LEITE-CONDENSADO,SUBSTANTIVO,ALIMENTO/BEBIDA,cg01,L
LEITE DE COCO,LOC. SUBST.,ALIMENTO/BEBIDA,cg02,L
LEITO,SUBSTANTIVO,NENHUM,cg37a,L
LEITURA,SUBSTANTIVO,NENHUM,cg32,L
LEMBRANCA,SUBSTANTIVO,SENTIMENTOS,cg32,L
LEMBRAR-NAO,LOC.VERB.,NENHUM,cg64,L
LEMBRAR1,VERBO,NENHUM,cg32,L
LEMBRAR2,VERBO,NENHUM,cg14,L
LEME,SUBSTANTIVO,APARELHO/MÁQUINA,cg63,L
LENCO,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg44,L
LENCOL,SUBSTANTIVO,CASA,cg55,L
LENDA,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg01,L
LENHA,SUBSTANTIVO,NENHUM,cg18a,L
LENTE,SUBSTANTIVO,NENHUM,cg05,L
LENTE-DE-CONTATO,SUBSTANTIVO,NENHUM,cg35a,L
LENTIDAO,SUBSTANTIVO,NENHUM,cg07,L
LENTO,ADJETIVO,NENHUM,cg07,L
LEPRA,SUBSTANTIVO,HIGIENE/SAÚDE,cg44,L
LEQUE,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg05,L
LER1,VERBO,NENHUM,cg32,L
LER2,VERBO,NENHUM,cg32,L
LERDO,ADJETIVO,NENHUM,cg44,L
LESAO,SUBSTANTIVO,HIGIENE/SAÚDE,cg63,L
LESBICA,ADJETIVO,NENHUM,cg02,L
LESMA,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg14,L
LESTE,SUBSTANTIVO,NENHUM,cg02,L
LETRA,SUBSTANTIVO,NENHUM,cg08a,L
LETRAS,SUBSTANTIVO,NENHUM,cg08a,L
LEVADO1,ADJETIVO,NENHUM,cg47,L
LEVADO2,ADJETIVO,NENHUM,cg04,L
LEVANTAR1,VERBO,NENHUM,cg32,L
LEVANTAR2,VERBO,NENHUM,cg63,L
LEVANTAR3,SUBSTANTIVO,NENHUM,cg53a,L
LEVAR BRONCA,VERBO,NENHUM,cg64,L
LEVAR1,VERBO,NENHUM,cg57,L
LEVAR2,VERBO,NENHUM,cg02,L
LEVE1,ADJETIVO,NENHUM,cg63,L
LEVE2,ADJETIVO,NENHUM,cg54,L
LEVITAR,VERBO,NENHUM,cg24,L
LHAMA,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg01,L
LIBERAL,ADJETIVO,NENHUM,cg63,L
LIBERAR,VERBO,NENHUM,cg33,L
LIBERDADE,SUBSTANTIVO,NENHUM,cg33,L
LIBERTAR,VERBO,NENHUM,cg33,L
LIBRA,SUBSTANTIVO,ANO SIDERAL,cg63,L
LICAO,SUBSTANTIVO,NENHUM,cg19,L
LICENCA,SUBSTANTIVO,NENHUM,cg63,L
LICENCA-PREMIO,LOC. SUBST.,PROFISSÃO/TRABALHO,cg11,L
LIDER1,SUBSTANTIVO,NENHUM,cg25,L
LIDER2,SUBSTANTIVO,NENHUM,cg08a,L
LIGACAO1,SUBSTANTIVO,NENHUM,cg14,L
LIGACAO2,SUBSTANTIVO,NENHUM,cg14,L
LIGAR,VERBO,NENHUM,cg40,L
LIGAR APARELHO,VERBO,NENHUM,cg07,L
LIGAR LUZ,VERBO,NENHUM,cg42,L
LIGAR IGNICAO,VERBO,NENHUM,cg05,L
LIGAR TECLA,VERBO,NENHUM,cg07,L
LIGEIRO,ADJETIVO,NENHUM,cg64,L
LILAS,ADJETIVO,COR/FORMA,cg02,L
LIMA,SUBSTANTIVO,APARELHO/MÁQUINA,cg24,L
LIMAO,SUBSTANTIVO,FRUTA,cg14,L
LIMAR,VERBO,NENHUM,cg24,L
LIMITADO,ADJETIVO,NENHUM,cg63,L
LIMITAR,VERBO,NENHUM,cg63,L
LIMITE1,SUBSTANTIVO,NENHUM,cg63,L
LIMITE2,SUBSTANTIVO,NENHUM,cg63,L
LIMO,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg32,L
LIMPEZA,VERBO,HIGIENE/SAÚDE,cg64,L
LIMPO,ADJETIVO,HIGIENE/SAÚDE,cg64,L
LIMUSINE,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg02,L
LINDO,ADJETIVO,NENHUM,cg18a,L
LINGUA,SUBSTANTIVO,CORPO,cg15,L
LINGUA DE SINAIS,LOC. SUBST.,NENHUM,cg64,L
LINGUA ESTRANGEIRA,LOC. SUBST.,NENHUM,cg27,L
LINGUAGEM,SUBSTANTIVO,NENHUM,cg08a,L
LINGUARUDO,ADJETIVO,NENHUM,cg14,L
LINGUICA,SUBSTANTIVO,ALIMENTO/BEBIDA,cg61,L
LINGUISTICA,SUBSTANTIVO,NENHUM,cg08a,L
LINHA1,SUBSTANTIVO,NENHUM,cg40,L
LINHA2,SUBSTANTIVO,NENHUM,cg26,L
