palavra,classe_gramatical,assunto,CM
COMPRIMIDO2,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,cg49
COMPROMISSO,SUBSTANTIVO,NENHUM,cg14
COMPUTADOR,SUBSTANTIVO,APARELHO/MÁQUINA,cg15
COMUM1,ADJETIVO,NENHUM,cg01
COMUM2,ADJETIVO,NENHUM,cg28
COMUNGAR,VERBO,NENHUM,cg49
COMUNHAO,SUBSTANTIVO,NENHUM,cg49
COMUNICACAO,SUBSTANTIVO,NENHUM,cg51a
COMUNICAR,VERBO,NENHUM,cg51a
COMUNIDADE,SUBSTANTIVO,NENHUM,cg47
COMUNISTA,ADJETIVO,NENHUM,cg02
CONCENTRAR,VERBO,NENHUM,cg63
CONCHA,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg53b
CONCLUIR,VERBO,NENHUM,cg33
CONCORDAR,VERBO,NENHUM,cg14
CONCORRENCIA,SUBSTANTIVO,NENHUM,cg14
CONCORRER,VERBO,NENHUM,cg14
CONCURSO1,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg62
CONCURSO2,SUBSTANTIVO,NENHUM,cg14
CONDICIONADOR,SUBSTANTIVO,NENHUM,cg51a
CONDOMINIO,SUBSTANTIVO,NENHUM,cg32
CONDUTA,SUBSTANTIVO,NENHUM,cg08a
CONFERENCIAR,VERBO,NENHUM,cg64
CONFERIR,VERBO,NENHUM,cg20
CONFESSAR,VERBO,NENHUM,cg58
CONFETE,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg57
CONFIANCA,SUBSTANTIVO,SENTIMENTOS,cg63
CONFIAR,VERBO,NENHUM,cg63
CONFIDENCIAL,ADJETIVO,NENHUM,cg51a
CONFIDENCIAL2,ADJETIVO,NENHUM,cg53a
CONFIRMAR,VERBO,NENHUM,cg49
CONFISCAR,VERBO,NENHUM,cg47
CONFISSAO,SUBSTANTIVO,NENHUM,cg42
CONFLITO2,SUBSTANTIVO,NENHUM,cg14
CONFORMAR,VERBO,NENHUM,cg47
CONFORTAR,VERBO,NENHUM,cg53a
CONFORTO,ADJETIVO,SENTIMENTOS,cg57
CONFRONTAR,VERBO,NENHUM,cg14
CONFUNDIR,VERBO,NENHUM,cg64
CONFUSAO1,SUBSTANTIVO,NENHUM,cg57
CONFUSAO2,SUBSTANTIVO,NENHUM,cg64
CONGELAR,VERBO,NENHUM,cg15
CONGESTIONAMENTO,SUBSTANTIVO,NENHUM,cg62
CONGREGACAO,SUBSTANTIVO,NENHUM,cg47
CONGRESSO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg51a
CONHECER,VERBO,NENHUM,cg58
CONHECIMENTO,SUBSTANTIVO,NENHUM,cg58
CONJUGE,SUBSTANTIVO,FAMÍLIA,cg52
CONOSCO,PRONOME,NENHUM,cg57
CONQUISTAR,VERBO,NENHUM,cg51b
CONSCIENCIA,SUBSTANTIVO,NENHUM,cg35b
CONSEGUIR,VERBO,NENHUM,cg08a
CONSELHEIRO,ADJETIVO,PROFISSÃO/TRABALHO,cg51a
CONSELHEIRO2,ADJETIVO,NENHUM,cg50
CONSELHO,SUBSTANTIVO,NENHUM,cg50
CONSERTAR,VERBO,NENHUM,cg14
CONSERVAR,VERBO,NENHUM,cg03
CONSOLAR,VERBO,NENHUM,cg63
CONSTITUICAO,SUBSTANTIVO,NENHUM,cg51a
CONSTRUCAO,SUBSTANTIVO,NENHUM,cg02
CONSTRUIR,SUBSTANTIVO,NENHUM,cg02
CONSULTAR,VERBO,NENHUM,cg14
CONTA,SUBSTANTIVO,NUMERAL/DINHEIRO,cg37a
CONTA CORRENTE,SUBSTANTIVO,NUMERAL/DINHEIRO,cg51a
CONTA-GOTAS,SUBSTANTIVO,HIGIENE/SAÚDE,cg20
CONTABILIDADE,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg51a
CONTADOR2,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg39
CONTADOR3,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg49
CONTAMINADO,ADJETIVO,NENHUM,cg05
CONTAMINAR,VERBO,NENHUM,cg64
CONTAR1,VERBO,NENHUM,cg02
CONTAR2,VERBO,NENHUM,cg39
CONTAR3,VERBO,NENHUM,cg02
CONTATAR,VERBO,NENHUM,cg35a
CONTATO,SUBSTANTIVO,NENHUM,cg14
CONTENTE,ADJETIVO,NENHUM,cg32
CONTEXTO1,SUBSTANTIVO,NENHUM,cg14
CONTIGO,PRONOME,NENHUM,cg14
CONTINENCIA1,SUBSTANTIVO,NENHUM,cg07
CONTINENCIA2,SUBSTANTIVO,NENHUM,cg61
CONTINUAR,VERBO,NENHUM,cg32
CONTO,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg32
CONTRA,PREP.,NENHUM,cg14
CONTRA-CHEQUE,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg44
CONTRABANDO,SUBSTANTIVO,NENHUM,cg14
CONTRARIO,SUBSTANTIVO,NENHUM,cg14
CONTRATAR1,VERBO,NENHUM,cg55
CONTRATAR2,VERBO,NENHUM,cg02
CONTRATO,SUBSTANTIVO,NENHUM,cg55
CONTRIBUICAO,SUBSTANTIVO,NENHUM,cg62
CONTRIBUIR,VERBO,NENHUM,cg05
CONTROLE REMOTO,SUBSTANTIVO,APARELHO/MÁQUINA,cg01
CONVENCER1,VERBO,NENHUM,cg47
CONVENCIDO,ADJETIVO,NENHUM,cg07
CONVENIO,SUBSTANTIVO,NENHUM,cg15
CONVENTO,VERBO,NENHUM,cg62
CONVERSACAO,SUBSTANTIVO,NENHUM,cg62
CONVERSAO,SUBSTANTIVO,NENHUM,cg07
CONVERSAR,VERBO,NENHUM,cg62
CONVERTER,VERBO,NENHUM,cg07
CONVIDAR,VERBO,NENHUM,cg63
CONVITE,SUBSTANTIVO,NENHUM,cg63
COORDENADOR,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg51a
COPIAR,VERBO,NENHUM,cg57
COPO,SUBSTANTIVO,NENHUM,cg51a
COQUETEL,SUBSTANTIVO,ALIMENTO/BEBIDA,cg49
COR,SUBSTANTIVO,COR/FORMA,cg51a
CORACAO,SUBSTANTIVO,HIGIENE/SAÚDE,cg62
CORAGEM,SUBSTANTIVO,SENTIMENTOS,cg57
CORAJOSO,ADJETIVO,NENHUM,cg57
CORAL,ADJETIVO,NENHUM,cg57
CORCOVADO,SUBSTANTIVO,NENHUM,cg63
CORCUNDA,ADJETIVO,CORPO,cg15
CORDA1,SUBSTANTIVO,NENHUM,cg55
CORDEIRO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg24
COREANO,ADJETIVO,NENHUM,cg53a
COREIA,SUBSTANTIVO,NENHUM,cg53a
CORNETA,SUBSTANTIVO,NENHUM,cg57
COROA,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg18b
CORONEL,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg64
CORPO,SUBSTANTIVO,CORPO,cg14
CORREDOR,SUBSTANTIVO,CASA,cg63
CORREIO,SUBSTANTIVO,NENHUM,cg24
CORRENTE,SUBSTANTIVO,NENHUM,cg49
CORRENTEZA,ADJETIVO,PLANTA/FLOR/NATUREZA,cg64
CORRER1,VERBO,NENHUM,cg02
CORRER2,VERBO,NENHUM,cg02
CORRER3,VERBO,NENHUM,cg64
CORRERIA,SUBSTANTIVO,NENHUM,cg64
CORRESPONDER1,VERBO,NENHUM,cg14
CORRESPONDER2,VERBO,NENHUM,cg05
CORRETOR,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg05
CORRIDA,SUBSTANTIVO,NENHUM,cg07
CORRIGIR,VERBO,NENHUM,cg20
CORROMPER,VERBO,NENHUM,cg14
CORTAR1,VERBO,NENHUM,cg32
CORTAR2,VERBO,NENHUM,cg14
CORTAR3,VERBO,NENHUM,cg44
CORTES,ADJETIVO,NENHUM,cg08a
CORTINA,SUBSTANTIVO,CASA,cg58
CORUJA1,ADJETIVO,FAMÍLIA,cg40
CORUJA2,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg18a
COSMETICOS,SUBSTANTIVO,NENHUM,cg63
COSTA1,SUBSTANTIVO,CORPO,cg63
COSTA2,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg63
COSTELA,SUBSTANTIVO,CORPO,cg58
COSTELETA,SUBSTANTIVO,CORPO,cg21
COSTUME,SUBSTANTIVO,NENHUM,cg63
COSTURAR1,VERBO,NENHUM,cg55
COSTURAR2,VERBO,NENHUM,cg63
COSTUREIRA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg63
COTONETE,SUBSTANTIVO,HIGIENE/SAÚDE,cg14
COTOVELADA,SUBSTANTIVO,NENHUM,cg02
COTOVELO1,SUBSTANTIVO,CORPO,cg14
COTOVELO2,SUBSTANTIVO,NENHUM,cg42
COURO,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,cg01
COVARDE,ADJETIVO,NENHUM,cg51a
COXA,SUBSTANTIVO,CORPO,cg63
COXEAR,VERBO,NENHUM,cg32
COXINHA DE GALINHA,SUBSTANTIVO,ALIMENTO/BEBIDA,cg44
COZIDO,SUBSTANTIVO,ALIMENTO/BEBIDA,cg47
COZINHA,SUBSTANTIVO,CASA,cg05
COZINHAR,VERBO,NENHUM,cg05
COZINHEIRA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg05
CRACHA,SUBSTANTIVO,NENHUM,cg22b
CRANIO,SUBSTANTIVO,CORPO,cg47
CRAVAR,VERBO,NENHUM,cg02
CRECHE,SUBSTANTIVO,NENHUM,cg51a
CREME,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,cg51a
CREME DENTAL,SUBSTANTIVO,HIGIENE/SAÚDE,cg05
CRENCA,SUBSTANTIVO,SENTIMENTOS,cg63
CRENTE,ADJETIVO,NENHUM,cg63
CREPUSCULO,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg19
CRER,VERBO,NENHUM,cg63
CRESCER1,VERBO,NENHUM,cg63
CRESCER2,VERBO,NENHUM,cg64
CRESPO,ADJETIVO,NENHUM,cg46a
CRIAR1,VERBO,NENHUM,cg01
CRIAR2,VERBO,NENHUM,cg44
CRIAR3,VERBO,NENHUM,cg14
CRIAR4,VERBO,NENHUM,cg44
CRIME,SUBSTANTIVO,NENHUM,cg51a
CRITICAR,VERBO,NENHUM,cg11
CRUCIFICACAO,SUBSTANTIVO,NENHUM,cg63
CRUCIFICAR,VERBO,NENHUM,cg63
CRUZ,SUBSTANTIVO,NENHUM,cg14
CRUZAR1,VERBO,NENHUM,cg15
CRUZAR2,VERBO,NENHUM,cg32
CUBA,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg51a
CUBA2,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg61
CUBANO,ADJETIVO,NENHUM,cg61
CUBO,SUBSTANTIVO,COR/FORMA,cg15
CUECA,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg18a
CUIDADO,SUBSTANTIVO,NENHUM,cg64
CUIDADOSO,ADJETIVO,NENHUM,cg64
CUIDAR1,VERBO,NENHUM,cg63
CUIDAR2,VERBO,NENHUM,cg32
CULPA,VERBO,SENTIMENTOS,cg11
CULPADO,ADJETIVO,NENHUM,cg45
CULTO1,SUBSTANTIVO,NENHUM,cg51a
CULTO2,ADJETIVO,NENHUM,cg31
CULTURA1,SUBSTANTIVO,NENHUM,cg51a
CULTURA2,SUBSTANTIVO,NENHUM,cg31
CUMPRIMENTAR,VERBO,NENHUM,cg63
CUNHADO,SUBSTANTIVO,FAMÍLIA,cg51a
CUPIDO,SUBSTANTIVO,NENHUM,cg63
CUPIM,ADJETIVO,ANIMAL/INSETO/PEIXE/AVE,cg49
CUPUACU,SUBSTANTIVO,FRUTA,cg32
CURA,SUBSTANTIVO,HIGIENE/SAÚDE,cg02
CURAR,VERBO,NENHUM,cg02
CURIOSIDADE,SUBSTANTIVO,SENTIMENTOS,cg63
CURIOSO,ADJETIVO,NENHUM,cg63
CURITIBA,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg51a
CURRICULO VITAE,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg32
CURSO,SUBSTANTIVO,NENHUM,cg51a
CURTO,ADJETIVO,NENHUM,cg14
CURTO-CIRCUITO,SUBSTANTIVO,NENHUM,cg40
CURVA,SUBSTANTIVO,NENHUM,cg53b
CURVAR,VERBO,NENHUM,cg62
CUSPIR,VERBO,NENHUM,cg04
CUSTAR,VERBO,NENHUM,cg20
D,SUBSTANTIVO,NENHUM,cg12
DADO,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg01
DAMA,SUBSTANTIVO,NENHUM,cg07
DAMAS,SUBSTANTIVO,NENHUM,cg63
DANADO,ADJETIVO,NENHUM,cg63
DANCA,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg64
DANCAR1,VERBO,NENHUM,cg32
DANCAR2,VERBO,NENHUM,cg64
DANCARINA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg07
DANIFICAR,VERBO,NENHUM,cg02
DANO,SUBSTANTIVO,NENHUM,cg05
DAR,VERBO,NENHUM,cg64
DAR-NAO,LOC.VERB.,NENHUM,cg32
DAR2,VERBO,NENHUM,cg05
DARDO,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg18a
DATA,SUBSTANTIVO,ANO SIDERAL,cg12
DATAR,VERBO,NENHUM,cg44
DATILOGRAFAR,VERBO,NENHUM,cg47
DATILOLOGIA,SUBSTANTIVO,NENHUM,cg47
DE REPENTE,LOC.ADV.,NENHUM,cg40
DEBAIXO,ADV.,NENHUM,cg63
DEBATE,SUBSTANTIVO,NENHUM,cg14
DEBATER,VERBO,NENHUM,cg14
DEBILITADA,ADJETIVO,NENHUM,cg44
DEBITAR,VERBO,NENHUM,cg53a
DEBITO,SUBSTANTIVO,NUMERAL/DINHEIRO,cg53a
DEBOCHAR,VERBO,NENHUM,cg08a
DEBRUCAR,VERBO,NENHUM,cg01
DECAIR,VERBO,NENHUM,cg64
DECALOGO,SUBSTANTIVO,NENHUM,cg07
DECAPITAR,VERBO,NENHUM,cg63
DECENTE,ADJETIVO,NENHUM,cg49
DECEPAR,VERBO,NENHUM,cg62
DECEPCIONADO1,ADJETIVO,NENHUM,cg02
DECEPCIONADO2,ADJETIVO,NENHUM,cg33
DECEPCIONAR,VERBO,NENHUM,cg02
DECIDIR,VERBO,NENHUM,cg47
DECIFRAR,VERBO,NENHUM,cg32
DECISAO,SUBSTANTIVO,NENHUM,cg47
DECLARACAO1,SUBSTANTIVO,NENHUM,cg37a
DECLARACAO2,SUBSTANTIVO,NENHUM,cg12
DECLARAR,VERBO,NENHUM,cg40
DECLINACAO,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg62
DECOLAR,VERBO,NENHUM,cg40
DECOMPOR,VERBO,NENHUM,cg01
DECORAR1,VERBO,NENHUM,cg35a
DECORAR2,VERBO,NENHUM,cg47
DECRETAR,VERBO,NENHUM,cg63
DECRETO,SUBSTANTIVO,NENHUM,cg06
DECURSO,SUBSTANTIVO,NENHUM,cg14
DEDAL,SUBSTANTIVO,NENHUM,cg14
DEDETIZACAO,SUBSTANTIVO,HIGIENE/SAÚDE,cg05
DEDICAR,VERBO,NENHUM,cg63
DEDILHAR,VERBO,NENHUM,cg47
DEDO,SUBSTANTIVO,CORPO,cg14
DEDURAR,VERBO,NENHUM,cg40
DEDUZIR,VERBO,NENHUM,cg14
DEFECAR,VERBO,NENHUM,cg01
DEFEITO,SUBSTANTIVO,NENHUM,cg53a
DEFENDER1,VERBO,NENHUM,cg63
DEFENDER2,VERBO,NENHUM,cg02
DEFESA,SUBSTANTIVO,NENHUM,cg02
DEFICIENTE AUDITIVO,ADJETIVO,NENHUM,cg12
DEFICIENTE FISICO,ADJETIVO,NENHUM,cg01
DEFICIENTE MENTAL,ADJETIVO,NENHUM,cg60
DEFICIENTE VISUAL,ADJETIVO,NENHUM,cg32
DEFICIENTE1,ADJETIVO,NENHUM,cg12
DEFICIENTE2,ADJETIVO,CORPO,cg62
DEFINHAR,VERBO,NENHUM,cg02
DEFINIR,VERBO,NENHUM,cg47
DEFORMAR,VERBO,NENHUM,cg47
DEFRONTE,ADV.,NENHUM,cg62
DEFUNTO,ADJETIVO,CORPO,cg18a
DEGLUTIR,VERBO,NENHUM,cg14
DEGOLAR,VERBO,NENHUM,cg63
DEGRAU,SUBSTANTIVO,NENHUM,cg64
DEGUSTAR,VERBO,NENHUM,cg44
DEITAR1,VERBO,NENHUM,cg32
DEITAR2,VERBO,NENHUM,cg32
DEIXAR1,VERBO,NENHUM,cg44
DEIXAR2,VERBO,NENHUM,cg33
DEIXAR3,VERBO,NENHUM,cg33
DELATAR,VERBO,NENHUM,cg40
DELE,PRONOME,NENHUM,cg11
DELEGACIA DE POLICIA,SUBSTANTIVO,NENHUM,cg49
DELEGADO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg49
DELETAR,VERBO,NENHUM,cg01
DELICADO,ADJETIVO,NENHUM,cg54
DELICIA,SUBSTANTIVO,NENHUM,cg35a
DELINEADOR,SUBSTANTIVO,NENHUM,cg20
DELIRIO,SUBSTANTIVO,NENHUM,cg64
DEMITIR,VERBO,NENHUM,cg52
DEMOCRACIA,SUBSTANTIVO,NENHUM,cg33
DEMOLIR,VERBO,NENHUM,cg15
DEMONIO,SUBSTANTIVO,NENHUM,cg18a
DEMONSTRAR,VERBO,NENHUM,cg14
DEMORAR,VERBO,NENHUM,cg07
DENGOSO,ADJETIVO,NENHUM,cg07
DENGUE,SUBSTANTIVO,HIGIENE/SAÚDE,cg49
DENODAR,VERBO,NENHUM,cg05
DENOMINAR,VERBO,NENHUM,cg05
DENTADA,SUBSTANTIVO,NENHUM,cg47
DENTADURA,SUBSTANTIVO,NENHUM,cg18a
DENTE,SUBSTANTIVO,CORPO,cg15
DENTICAO,SUBSTANTIVO,CORPO,cg61
DENTISTA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg40
DENTRO1,ADV.,NENHUM,cg44
DENTRO2,ADV.,NENHUM,cg53a
DENTRO3,ADV.,NENHUM,cg64
DENTUCO,ADJETIVO,CORPO,cg31
DENUNCIAR,VERBO,NENHUM,cg40
DEPENAR,VERBO,NENHUM,cg01
DEPENDENTE,ADJETIVO,FAMÍLIA,cg34
DEPENDER,VERBO,NENHUM,cg63
DEPILACAO,SUBSTANTIVO,HIGIENE/SAÚDE,cg63
DEPILAR,VERBO,NENHUM,cg63
DEPOIMENTO,SUBSTANTIVO,NENHUM,cg40
DEPOIS,ADV.,NENHUM,cg14
DEPOSITAR,VERBO,NENHUM,cg02
DEPRESSA,ADV.,NENHUM,cg51a
DEPRESSAO,SUBSTANTIVO,SENTIMENTOS,cg02
DEPRIMIDO,ADJETIVO,NENHUM,cg02
DEPUTADO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg12
DERRAMAR,VERBO,NENHUM,cg01
DERRAME,SUBSTANTIVO,HIGIENE/SAÚDE,cg53a
DERRAPAR,VERBO,NENHUM,cg31
DERRETER,VERBO,NENHUM,cg07
DERROTAR1,VERBO,ESPORTE/DIVERSÃO,cg23
DERROTAR2,VERBO,ESPORTE/DIVERSÃO,cg62
DERRUBAR,VERBO,NENHUM,cg64
DESABAFAR,VERBO,NENHUM,cg42
DESABAR,VERBO,NENHUM,cg64
DESABOTOAR,VERBO,NENHUM,cg05
DESABROCHAR,VERBO,NENHUM,cg42
DESAFIAR,VERBO,ESPORTE/DIVERSÃO,cg14
DESAFIO,VERBO,NENHUM,cg14
DESANIMADO,ADJETIVO,NENHUM,cg64
DESAPARECER,VERBO,NENHUM,cg47
DESCALCO,ADJETIVO,NENHUM,cg35a
DESCAMAR,VERBO,NENHUM,cg55
DESCANSAR,VERBO,NENHUM,cg63
DESCARGA,SUBSTANTIVO,HIGIENE/SAÚDE,cg47
DESCASCAR,VERBO,NENHUM,cg52
DESCENDENTE,ADJETIVO,FAMÍLIA,cg14
DESCER,VERBO,NENHUM,cg32
DESCOBRIR,VERBO,NENHUM,cg14
DESCONFIAR,VERBO,NENHUM,cg53a
DESCONGELAR,VERBO,NENHUM,cg01
DESCONHECIDO,ADJETIVO,NENHUM,cg07
DESCONTAR,VERBO,NENHUM,cg53a
DESCULPAR,VERBO,NENHUM,cg40
DESDENHAR,VERBO,NENHUM,cg44
DESEJAR1,VERBO,NENHUM,cg47
DESEJAR2,VERBO,NENHUM,cg14
DESEMPENHO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg63
DESEMPREGADO,ADJ./SUBST.,PROFISSÃO/TRABALHO,cg08a
DESEMPREGO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg08a
DESENCAMINHAR,VERBO,NENHUM,cg61
DESENCONTRAR,VERBO,NENHUM,cg14
DESENHAR,VERBO,NENHUM,cg27
DESENHISTA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg27
DESENHO,SUBSTANTIVO,NENHUM,cg27
DESENTUPIDOR,SUBSTANTIVO,APARELHO/MÁQUINA,cg02
DESENTUPIR,VERBO,NENHUM,cg02
DESENVOLVER,VERBO,NENHUM,cg53a
DESERTO,ADJETIVO,PLANTA/FLOR/NATUREZA,cg08a
DESESPERADO,ADJETIVO,NENHUM,cg64
DESESPERAR,VERBO,NENHUM,cg64
DESFALECER,VERBO,NENHUM,cg61
DESFIAR,VERBO,NENHUM,cg42
DESFILAR,VERBO,NENHUM,cg27
DESFILE,SUBSTANTIVO,NENHUM,cg27
DESGASTAR,VERBO,NENHUM,cg35a
DESGOSTO,SUBSTANTIVO,SENTIMENTOS,cg02
DESIGNAR,VERBO,NENHUM,cg20
DESINIBIDO,ADJETIVO,NENHUM,cg27
DESISTIR,VERBO,NENHUM,cg44
DESLIGAR,VERBO,NENHUM,cg05
DESLIZAR,VERBO,NENHUM,cg11
DESMAIAR,VERBO,NENHUM,cg61
DESMONTAR,VERBO,NENHUM,cg52
DESOBEDECER,VERBO,NENHUM,cg07
DESODORANTE,SUBSTANTIVO,HIGIENE/SAÚDE,cg02
DESORDEM,SUBSTANTIVO,NENHUM,cg64
DESPEDIR1,VERBO,NENHUM,cg64
DESPEDIR2,VERBO,NENHUM,cg53a
DESPEJO,SUBSTANTIVO,NENHUM,cg53a
DESPERTADOR,SUBSTANTIVO,APARELHO/MÁQUINA,cg47
DESPERTAR,VERBO,ALIMENTO/BEBIDA,cg02
DESPIDO,SUBSTANTIVO,NENHUM,cg14
DESPORTO,SUBSTANTIVO,ALIMENTO/BEBIDA,cg07
DESPREOCUPADO,ADJETIVO,NENHUM,cg27
DESPREZAR,VERBO,NENHUM,cg44
DESQUITAR,VERBO,NENHUM,cg53a
DESTINO,SUBSTANTIVO,NENHUM,cg63
DESTRO,ADJETIVO,CORPO,cg63
DESTRUIR1,VERBO,NENHUM,cg02
DESTRUIR2,VERBO,NENHUM,cg63
DESVALORIZAR,VERBO,NENHUM,cg64
DESVIAR,VERBO,NENHUM,cg61
DETALHE,SUBSTANTIVO,NENHUM,cg14
DETER,VERBO,NENHUM,cg64
DETERGENTE,SUBSTANTIVO,HIGIENE/SAÚDE,cg02
DETESTAR1,VERBO,NENHUM,cg34
DETESTAR2,VERBO,NENHUM,cg63
DETETIVE,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg49
DETONAR,VERBO,NENHUM,cg02
DETRAS,ADV.,NENHUM,cg07
DEUS,SUBSTANTIVO,NENHUM,cg12
DEVAGAR,ADV.,NENHUM,cg64
DEVER1,VERBO,NENHUM,cg05
DEVER2,VERBO,NENHUM,cg05
DEVER3,VERBO,NENHUM,cg15
DEVIDO A,LOC.ADV.,NENHUM,cg24
DEVOLVER1,VERBO,NENHUM,cg57
DEVOLVER2,VERBO,NENHUM,cg15
DEVORAR,VERBO,NENHUM,cg53a
DEZ,NUM.,NUMERAL/DINHEIRO,cg07
DEZEMBRO,SUBSTANTIVO,ANO SIDERAL,cg47
DEZESSEIS,NUM.,NUMERAL/DINHEIRO,cg07
DEZESSETE,NUM.,NENHUM,cg07
DIA 1,SUBSTANTIVO,ANO SIDERAL,cg34
DIA 2,SUBSTANTIVO,ANO SIDERAL,cg02
DIA 3,SUBSTANTIVO,ANO SIDERAL,cg12
DIA 4,SUBSTANTIVO,ANO SIDERAL,cg62
DIA DA SEMANA,SUBSTANTIVO,ANO SIDERAL,cg32
DIA-1,NUM.,NUMERAL/DINHEIRO,cg32
DIABETE,SUBSTANTIVO,HIGIENE/SAÚDE,cg14
DIABO,SUBSTANTIVO,NENHUM,cg18a
DIAGNOSTICAR,VERBO,NENHUM,cg14
DIALOGAR,VERBO,NENHUM,cg14
DIALOGO,SUBSTANTIVO,NENHUM,cg14
DIAMANTE,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg64
DIANTE,PREP.,NENHUM,cg62
DIARIA,SUBSTANTIVO,NUMERAL/DINHEIRO,cg20
DIARIAMENTE1,ADV.,ANO SIDERAL,cg14
DIARIAMENTE2,ADV.,ANO SIDERAL,cg35a
DIARREIA,SUBSTANTIVO,HIGIENE/SAÚDE,cg07
DICIONARIO,SUBSTANTIVO,NENHUM,cg12
DIDATICA,SUBSTANTIVO,NENHUM,cg12
DIETA,SUBSTANTIVO,HIGIENE/SAÚDE,cg40
DIFAMAR,VERBO,NENHUM,cg05
DIFERENCA,SUBSTANTIVO,NENHUM,cg14
DIFERENTE1,ADJETIVO,NENHUM,cg08a
DIFICIL,ADJETIVO,NENHUM,cg15
DIFICULDADE,SUBSTANTIVO,NENHUM,cg15
DIGITADOR,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg47
DIGITAR,VERBO,NENHUM,cg47
DILUVIO,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg64
DIMINUIR1,VERBO,NENHUM,cg18a
DIMINUIR2,VERBO,NENHUM,cg18a
DIMINUIR3,VERBO,NENHUM,cg52
DINAMARCA,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg28
DINAMARQUES,ADJETIVO,NENHUM,cg28
DINHEIRO,SUBSTANTIVO,NUMERAL/DINHEIRO,cg20
DINOSSAURO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg42
DIPLOMA,SUBSTANTIVO,NENHUM,cg02
DIREITO1,ADJETIVO,NENHUM,cg12
DIREITO2,ADJETIVO,NENHUM,cg63
DIREITO3,SUBSTANTIVO,NENHUM,cg12
DIREITO4,ADJETIVO,NENHUM,cg49
DIRETO,ADJETIVO,NENHUM,cg61
DIRETOR,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg12
DIRETORIA1,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg12
DIRETORIA2,SUBSTANTIVO,NENHUM,cg07
DIRIGIR,VERBO,NENHUM,cg02
DISCIPLINA1,SUBSTANTIVO,NENHUM,cg47
DISCIPLINA2,SUBSTANTIVO,NENHUM,cg08a
DISCO,SUBSTANTIVO,NENHUM,cg15
DISCORDAR,VERBO,NENHUM,cg14
DISCOTECA,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg05
DISCRETO,ADJETIVO,NENHUM,cg49
DISCRIMINACAO,SUBSTANTIVO,NENHUM,cg64
DISCURSO,SUBSTANTIVO,NENHUM,cg64
DISCUTIR,VERBO,NENHUM,cg14
DISFARCAR,VERBO,NENHUM,cg27
DISPARAR,VERBO,NENHUM,cg15
DISPENSAR,VERBO,NENHUM,cg33
DISPERSAR,VERBO,NENHUM,cg02
DISPONIVEL,ADJETIVO,NENHUM,cg33
DISPOSITIVO INTRA-UTERINO DIU,SUBSTANTIVO,HIGIENE/SAÚDE,cg20
DISPUTAR,VERBO,NENHUM,cg14
DISQUETE,SUBSTANTIVO,APARELHO/MÁQUINA,cg18a
